Audio File ID,Target Text,Coded Lines,Speaker ID,Start Time,End Time
reading-29ma-24,friuli's scenery ranges from rugged coastline,friuli's scenery ranges from rugged coastline,PAR,34.75,38.0
reading-29ma-25,along the eastern border,along the eastern border,PAR,38.0,40.0
reading-29ma-26,to placid planes in the west,to placid planes in the west,PAR,40.0,42.2
reading-29ma-27,and the majestic alps in the north where italy butts up against austria,and the majestic alps in the north where italy butts up against austria,PAR,42.2,47.0
reading-29ma-28,directly to the south is venice just a little more than an hour and a half away,directly to the south is venice just a little more than an hour and a half away,PAR,47.0,52.0
reading-29ma-29,though off the beaten tourist track,though off the beaten tourist track,PAR,52.0,54.4
reading-29ma-30,friuli is hard in the path of history,friuli is hard in the path of history,PAR,54.4,57.1
reading-29ma-31,standing at one of the major crossroads,standing at one of the major crossroads,PAR,57.1,60.0
reading-29ma-32,between western europe and the east,between western europe and the east,PAR,60.0,62.6
reading-29ma-33,it was conquered by just about everyone who passed by,it was conquered by just about everyone who passed by,PAR,62.6,67.0
reading-29ma-34,as a result things look different here,as a result things look different here,PAR,67.0,70.2
reading-29ma-35,rather than the familiar cultural overlay of most of italy,rather than the familiar cultural overlay of most of italy,PAR,70.2,74.0
reading-29ma-36,the central european influence is readily apparent in friuli,the central european influence is readily apparent in friuli,PAR,74.0,78.0
reading-29ma-37,the architecture tends more towards austrian grandeur,the architecture tends more towards austrian grandeur,PAR,78.0,81.8
reading-29ma-38,than tuscan simplicity,than tuscan simplicity,PAR,81.8,83.5
reading-29ma-39,here you'll find gray stone castles,here you'll find gray stone castles,PAR,83.5,86.0
reading-29ma-40,rather than sun drenched villas,rather than sun drenched villas,PAR,86.0,88.0
reading-29ma-41,the people look different too,the people look different too,PAR,88.0,90.1
reading-29ma-42,taller and blonder than southern italians,taller and blonder than southern italians,PAR,90.1,92.9
reading-29ma-43,and with plenty of german and central european surnames,and with plenty of german and central european surnames,PAR,92.9,96.15
reading-24mb-11,ok so here we are in friuli tucked away in a remote corner ofthe alpine foothills in northeastern italy at a little restaurant,ok s:o here we are in friuli  tucked away in a remote corner ofthe alpine foothills in northeastern italy at a little restaurant,PAR,0.0,9.5
reading-24mb-12,i have to admit that when I travel,i have to admit that when I travel,PAR,9.5,12.0
reading-24mb-13,history is not the first thing on my mind,history is not the first thing on my mind,PAR,12.0,14.0
reading-24mb-14,food and wine are,food and wine are,PAR,14.0,15.5
reading-24mb-15,thats what sold me on friuli.,<and that's why> [//] thats what sold me on friuli.,PAR,15.5,18.6
reading-24mb-16,it is famous as a source of some of italy's best white wines,it is famous as a source of some of italy's best white wines,PAR,18.6,23.0
reading-24mb-17,we went primarily in search of wines unaware that we soon would make a culinary detour,we went primarily in search of wines unaware that we soon would make a culinary detour,PAR,23.0,28.3
reading-24mb-18,occupying the extreme northeast corner of italy,occupying the extreme northeast corner of italy,PAR,28.3,31.311
reading-24mb-19,friulis scenery ranges from rugged coastline along the eastern border to placcid plains in the west and the majestic alps in the north where italy butts up against austria,friulis scenery ranges from rugged coastline along the eastern border to placcid plains in the west and the majestic alps in the north where italy butts up against austria,PAR,31.311,42.0
reading-24mb-20,directly to the south is venice,directly to the south is venice,PAR,42.0,44.0
reading-24mb-21,just a little more than an hour and a half away,just a little more than an hour and a half away,PAR,44.0,46.6
reading-24mb-22,though off of the beaten tourist track,↫tho↫though off of the beaten tourist track,PAR,46.6,50.6
reading-24mb-23,friuli is heart in the path of history,friuli <is hea> [/] is heart in the path of history,PAR,50.6,53.6
reading-24mb-24,staying at one of the major crossroads between western europe and the east,staying at one of the major crossroads between western europe and the east,PAR,53.6,58.6
reading-24mb-25,it was conquered by just about everyone who passed by,it was conquered by just about everyone who passed by,PAR,58.6,61.3
reading-24mb-26,as a result things look different here,as a result things look different here,PAR,61.3,64.0
reading-24mb-27,rather than the familiar cultural overlay,rather than the familiar cultural overlay,PAR,64.0,66.6
reading-24mb-28,of most of italy,of most of italy,PAR,66.6,68.2
reading-24mb-29,the central european influence is readily apparent in friuli,the central european influence is readily apparent in friuli,PAR,68.2,71.6
reading-24mb-30,the architecture tends more toward austrian grandeur than tuscan simplicity,the architecture tends more toward austrian grandeur than tuscan simplicity,PAR,71.6,77.3
reading-24mb-31,here we'll find gray stone castles rather than sun drenched villas,here we'll find gray stone castles rather than sun drenched villas,PAR,77.3,81.6
reading-24mb-32,the people look different too,the people look different too,PAR,81.6,83.3
reading-24mb-33,taller and blonder than southern italians,taller and blonder than southern ↫i↫italians,PAR,83.3,86.4
reading-24mb-34,and with plenty of german and central european surnames,and with plenty of german and central european surnames,PAR,86.4,89.1
reading-24fc-11,so here we are in friuli tucked away in a remote corner of the alpine foothills in northeastern italy at a little restaurant,so ↫h↫here we are in fri^uli tucked ↫a-a-a-a↫a:way in a remote ↫co-co↫corner of the alpine ↫f↫foothills in ↫north↫n:ortheastern ↫i-i-it-ita↫italy at a little ↫res-res-res:↫restaurant,PAR,0.6,24.3
reading-24fc-12,I have to admit that when I travel history is not the first thing on my mind,I have to admit that when I [/] I travel his↫is-is↫tory is not the first thing on my mind,PAR,24.3,30.5
reading-24fc-13,food and wine are,food and wine are,PAR,30.5,32.1
reading-24fc-14,and that's what sold me on friuli,and that's what sold me on ↫fri-fri↫friuli,PAR,32.1,38.0
reading-24fc-15,it is famous as a source of some of italy's best white wines,it is ↫fa-fa↫fa:mous as a source of some of ↫i^ta-i:↫ita-ita↫i:taly's <best wine> [//] best white wines,PAR,38.0,51.5
reading-24fc-16,we went primarily in search of wines unaware that we soon will make a culinary detour,we [x 3] went ↫pri-pri↫primari↫primarily in search of wines ↫un-un-u:n↫unaware [/] unaware that we soon [/] soon will make a ↫culin-cu↫culinary ≠de:tour,PAR,51.5,67.75
reading-24fc-17,occupying the extreme northeast corner of italy friuli's scenery ranges from rugged coastline along the eastern border to placid plains in the west and majestic alps in the north where italy butts up against austria,↫occupy-py↫occupying the [x 3] extreme northeast ↫cor-cor↫corner of ↫ita-ita↫i:taly ↫fri↫fri^uli's ↫scene↫scen^ery ranges from rugged coastline along the eastern ↫bor↫border to ↫pla-pla↫placid plains in the west and ↫ma-ma:-ma:↫majestic alps in the north where ↫it-i:-i:taly butts up a:gainst ↫a-au:↫austria,PAR,67.75,105.7
reading-24fc-18,"directly to the south is venice, just a little more than an hour and a half away","↫di-dir↫directly to [/] to the south &-uh is ↫v↫venice, just a [/] a ↫l-l-l↫little more than <an &+h> [/] an hour and a half ↫a-a:-a:↫a:way",PAR,106.2,123.0
reading-24fc-19,though off the beaten tourist track friuli is heart in the path of history,↫th-tho↫though off the beaten ↫tour-tour↫tourist track ↫fri-fri↫friuli is heart in the path of ↫his↫his:tory,PAR,123.0,137.0
reading-24fc-20,standing at one of the major crossroads between western europe and the east,standing at one of the ↫ma-ma-ma:↫major crossroads between western ↫eur↫europe and [/] and the east,PAR,137.0,146.4
reading-24fc-21,it was conquered by just about everyone who passed by,it was conquered by just about ↫e:↫e:veryone who [/] who passed by,PAR,146.4,151.6
reading-24fc-22,as a result things look different here,as a ↫r↫result things look ↫di↫di:fferent here,PAR,151.6,156.0
reading-24fc-23,rather than the familiar cultural overlay of most of italy,↫ra↫ra:ther than the ↫fa↫familiar ↫cul-cul-cul↫cul^tural ↫o:-over↫overlay of [/] of most of ↫i-i↫i^taly,PAR,156.0,170.5
reading-24fc-24,the central european influence is readily apparent in friuli,the central ↫eur-eur-europ↫european ↫in↫influence is ↫read-re:ad↫re:adily apparent in ↫fri↫fri^uli,PAR,170.5,182.0
reading-24fc-25,the architecture tends more toward austrian grandeur than tuscan simplicity,<the &+ak> [/] the architecture tends more ↫to-to-to↫to:ward austrian ↫gr↫grandeur than tuscan ↫sim↫simplicity,PAR,182.0,192.7
reading-24fc-26,here you'll find gray stone castle rather than sun drenched villas,here you'll find gray [/] gray stone ↫ca:-ca:-ca:↫castle ↫ra-ra↫rather <than sun drenched> [/] [% speaker's phone is continuously going off and distracts her] than sun drenched ↫v-v-vi↫villas,PAR,192.7,206.7
reading-24fc-27,the people look different too,the people look ↫di-di:↫di:fferent too,PAR,206.7,211.0
reading-24fc-28,taller and blonder than southern italians and with plenty of german and central european surnames,↫tall-tall-tall↫taller and blonder <than &+s> [/] than ↫south↫southern ↫ital↫ital:ians and with ↫plen-plen↫plenty of german [/] german and central ↫eur-eur-eur↫eur^opean ↫s-sur↫surnames,PAR,211.0,230.5
interview-24fa-9,please talk about the impact of stuttering on your daily life,please talk about the impact of stuttering on your ≠daily life,SP01,2.0,6.5
interview-24fa-10,you can talk about your interactions with family and friends,you can talk about your interactions with family and friends,SP01,7.5,10.2
interview-24fa-11,school and or work,school and or work,SP01,10.2,11.5
interview-24fa-12,and your participation in community activities,and your participation in community activities,SP01,11.5,14.64
interview-24fa-13,it's definitely affected my entire life,&-um &-I_mean it's definitely affected my entire life,SP02,16.0,20.1
interview-24fa-14,up until last year I was a covert stutterer,up until last year I was a ↫co-co-co↫covert ↫st↫stutterer,SP02,20.4,26.7
interview-24fa-15,I never introduce myself to people,<so I would> [//] I never introduce ↫my-my↫m:yself to people,SP02,27.0,31.8
interview-24fa-16,I wouldn't participate in class,I wouldn't participate in class,SP02,31.8,33.76
interview-24fa-17,whenever a teacher asked me a question I would just say I don't know because that was easier than asking,&-um whenever a teacher asked me a question I would just say I don't know (be)cause that was ↫ea↫easier than asking,SP02,34.0,41.5
interview-24fa-18,or easier than answering the question,or easier than ≠answering the [/] the question,SP02,41.8,45.2
interview-24fa-19,and I did not want my not coworkers but classmates to hear my stutter,and I did not want my &+c [//] not coworkers but &-um cl:assmates to hear my [/] my stutter,SP02,45.2,52.6
interview-24fa-20,and then I got different therapy last year and I'm still in it,&-um (.) and then: [//] <I went to> [//] I got different therapy last year and I'm still in it,SP02,52.6,61.9
interview-24fa-21,where it's focused on desensitization and trying to get past that fear and shame of stuttering,where it's &-like focused on &-um (.) desensitization and trying to get past that &-like fear and shame of stuttering,SP02,61.9,70.1
interview-24fa-22,so I'm working on that and now I'm getting a little better at introducing myself and letting my stutter show,so I'm working on that and now I'm getting a little better at [/] at [/] at introducing ↫my↫m:yself and l:etting my [/] my stutter show,SP02,70.1,79.3
interview-24fa-23,but I'm still at work very quiet,but I'm still &-like at work very quiet,SP02,79.3,82.45
interview-24fa-24,I start grad school in a couple months it'll be interesting to see if I participate more or if I fall back into my covert ways but,I start grad school in a couple months: &-uh ↫i↫it'll be interesting to see if I participate more or if I &-like fall back into my ↫c-c↫covert ways but,SP02,82.45,94.75
interview-24fa-25,what do you think causes stuttering,what do you think causes ≠stuttering,SP01,95.4,100.4
interview-24fa-26,honestly I don't know,&-um honestly I don't know,SP02,101.7,104.0
interview-24fa-27,I'm assuming it's something genetic,I'm assuming it's something ↫g-g↫g:enetic,SP02,104.15,107.5
interview-24fa-28,I don't remember when I first started stuttering,I don't remember &+th [//] &-um when I first started stuttering,SP02,107.5,111.35
interview-24fa-29,I just remember having issues with it in middle school,I just ↫re↫remember having ≠issues with it in m:iddle school,SP02,111.35,116.7
interview-24fa-30,so I don't know if I started stuttering earlier than that,so I don't know if I started stuttering earlier than that,SP02,117.7,121.0
interview-24fa-31,but probably something genetic,but probably something genetic 0haha,SP02,121.4,124.6
interview-24fa-32,if you have received treatment for your stuttering tell me about your therapy experiences and the outcomes of these therapies,if you have received treatment for your stuttering tell me about your therapy experiences and the outcomes of these ≠therapies,SP01,124.9,133.4
interview-24fa-33,can I say where I got therapy ?,can I say &-like where I got therapy ?,SP02,133.5,135.45
interview-24fa-34,okay so all throughout school elementary school middle school,okay so all throughout school &-um ↫e↫elementary school middle school +//.,SP02,135.8,143.2
interview-24fa-35,well assuming I started stuttering in elementary school,well assuming I started stuttering in [/] in ↫e↫elementary school,SP02,143.2,146.3
interview-24fa-36,but all throughout my school days,but all throughout &-like my school days,SP02,146.3,147.95
interview-24fa-37,I went to speech therapy in school,I went to speech therapy &-um in school,SP02,148.0,151.05
interview-24fa-38,and I was working on fluency shaping techniques,and I was working [/] ↫w-w↫working on fl:uency shaping &+te ↫t-t-t↫techniques,SP02,151.05,158.6
interview-24fa-39,which were very helpful in the session where it was one on one in a quiet room,which were very helpful &-like in the session where it was one ↫o↫on one &-um in a quiet room,SP02,159.0,165.9
interview-24fa-40,no distractions but it didn't really help me in the real world where I was with a group of friends,no distractions but it didn't really help me in &-like the real world where I [/] I was with &-like a group of friends,SP02,166.0,171.4
interview-24fa-41,or at work it's not like a controlled environment,or at work &-you_know it's not like a controlled en↫vi↫vironment,SP02,171.5,177.2
interview-24fa-42,so I became more covert,I became more ↫co↫covert,SP02,177.25,180.2
interview-24fa-43,and didn't really use those techniques,and didn't really use those &-um ↫te↫techniques,SP02,180.2,184.4
interview-24fa-44,unless I was doing a presentation,unless I was &-like doing a ↫pr↫presentation,SP02,184.4,188.15
interview-24fa-45,where again it was just me talking,where again it [/] ↫i↫it was just me talking,SP02,188.15,191.1
interview-24fa-46,and then I went to the America institute for stuttering,&-um and then I went to the ↫a-a↫America institute for stuttering,SP02,191.1,196.1
interview-24fa-47,and I was working on desensitization and letting my stutter show,and I was working on desensitization and ↫le↫letting my stutter show,SP02,196.1,201.1
interview-24fa-48,so that's been the most helpful,so that's been the most ↫he↫he↫h:elpful,SP02,201.15,203.2
interview-24fa-49,it's helped me feel more authentic,it's helped me feel &-like more ↫au↫authentic,SP02,203.2,206.9
interview-24fa-50,cool,cool,SP01,209.0,210.3
interview-24fa-51,please describe what successful communication means to you,please describe what successful communication means to you,SP01,210.3,213.75
interview-24fa-52,and can you give an example of a positive communicative experience,and can you g:ive an example of a positive communicative experience,SP01,214.75,218.0
interview-24fa-53,successful communication to me means just saying whatever I want to say,successful communication to me means just (.) saying whatever I want to say,SP02,218.2,225.3
interview-24fa-54,for most of my life I would just not say anything or avoid certain words because I didn't want to stutter on them so,&-um for most ≠of my life I would just not say anything or avoid ↫cer↫certain words (be)cause I didn't ↫wa↫want to stutter ↫o-o↫on them so,SP02,225.3,239.5
interview-24fa-55,I guess that's it,I guess that's it,SP02,239.5,240.7
interview-24fa-56,really just saying what I want to say,↫r↫really just saying what ≠I want to say,SP02,240.7,244.35
interview-24fa-57,and now after going to the American Institute for Stuttering successful communication for me would be to openly stutter and saying everything that I would like to say,and now after going to the American Institute for Stuttering ‡ successful communication for me would be to openly stutter and saying everything that I [/] I [/] I would like t:o say,SP02,244.35,257.45
interview-24fa-58,oh and then an experience that shows,oh and then an experience that shows,SP02,257.45,261.65
interview-24fa-59,I don't know,I don't know,SP02,261.65,262.35
interview-24fa-60,I actually was at the mall last week surveying people,&-um (..) I actually was at the mall last week s:urveying people,SP02,263.0,271.2
interview-24fa-61,asking them questions about stuttering,&-um asking them questions about ↫stu↫stuttering,SP02,271.2,275.3
interview-24fa-62,and I was talking to one guy who kept finishing my sentences for me,and I was talking to one guy who kept finishing my sentences for me,SP02,275.3,280.2
interview-24fa-63,but even though he did that I finished my sentence while he was finishing mine so I guess that was pretty successful because I didn't let him stop me from stuttering my way through until the end of the sentence,but even though he did that I &-like finished my sentence while he was f:inishing mine so I guess that was pretty successful because I didn't let him stop me from stuttering my way through &-like until the end of the sentence,SP02,280.2,293.9
interview-24fa-64,if you didn't stutter what might be different in your life ?,≠if you didn't stutter what might be different in your life ?,SP01,295.0,300.5
interview-24fa-65,so many things,0haha so many things,SP02,300.5,301.8
interview-24fa-66,I don't know that's hard to say,&-um (..) I don't know that's hard to say,SP02,301.8,306.8
interview-24fa-67,I feel after going to the American Institute for Stuttering I have a different outlook as opposed to when I was covert,I feel &-like after going to the American Institute for Stuttering I have a different outlook as opposed to when I was covert,SP02,306.8,314.2
interview-24fa-68,so I really don't know how to answer these questions because I feel like it's two different kind of lifestyles,&-um so I really don't know how to answer these questions because I feel like it's two different kind of lifestyles,SP02,314.2,321.2
interview-24fa-69,but before AIS I would have said that I could probably get a better job,but before ↫a-a↫IS I would have said that &-um I could probably &-like get a better job,SP02,321.2,331.4
interview-24fa-70,be a lawyer or I don't know a doctor or a teacher because I have to talk a lot,&-um &-like be a lawyer or I don't know a doctor or a teacher because I have to talk ↫a↫a lot,SP02,331.4,341.0
interview-24fa-71,or I could have more friends or be more outgoing and all these things,&-um or I could have more friends or be more outgoing and all these things,SP02,341.0,348.65
interview-24fa-72,but now I feel like I can do all these things even though I stutter,&-um but now I feel like I can do all these things ↫e-e↫even though I stutter,SP02,348.65,354.6
interview-24fa-73,and it kind of gives me more motivation because there are people who think that someone who stutters can't do certain things,and it kind of gives me more ≠motivation because <I know people> [//] there are people who think that someone who stutters &-like can't do &+cer ↫c-c↫cer↫certain things,SP02,354.6,365.1
interview-24fa-74,so now I'm in a better mindset I guess to prove people wrong,so now I'm in a better mindset I guess to prove people wrong,SP02,365.1,368.3
interview-24fa-75,what else would you want to say to students or to the general public to help them learn about stuttering or ways to support people who stutter ?,what else would you want to say to students or to the g:eneral public to help them learn about stuttering or ways to support people who stutter ?,SP01,369.0,378.45
interview-24fa-76,I would say to definitely check out the National Stuttering Association and FRIENDS the organization for kids and teens who stutter,&-um (.) I would say to definitely check out &-like the National Stuttering ↫A↫Association and [/] and FRIENDS the ↫or↫organization for kids and teens who stutter,SP02,378.6,391.55
interview-24fa-77,and just any support group that empowers kids and teens and adults who stutter,and just any &-um &-like support group that empowers &-like kids and teens and ↫a↫adults who [/] who stutter,SP02,391.55,400.5
interview-24fa-78,and just make sure that people know that stuttering doesn't have to hold them back and it's okay to stutter,and just make sure that people know that &-like stuttering doesn't have to hold them back and &-like it's okay to stutter,SP02,400.5,409.25
interview-24fa-79,it's not something that necessarily needs to be fixed,it's not something that necessarily needs to be fixed,SP02,409.25,412.1
interview-24fa-80,and I don't think the goal should be fluency,and I don't< think the> [/] <think the> goal should be fluency,SP02,412.1,415.7
interview-24fa-81,I think it should just be,I think it should just be +//.,SP02,415.7,416.8
interview-24fa-82,I mean I guess it depends on what the client wants,I mean I guess it depends on what the client wants,SP02,416.8,419.9
interview-24fa-83,but when I was in speech therapy I didn't really have a choice,but &-like when I was in speech therapy I didn't really have a choice,SP02,420.0,423.8
interview-24fa-84,I was told that stuttering is bad and I shouldn't stutter,&-like I was told that s:tuttering is bad and I shouldn't stutter,SP02,423.8,427.4
interview-24fa-85,I need to speak fluently,I need to speak f:luently,SP02,427.4,429.9
interview-24fa-86,I just put so much pressure on me to speak like everybody else,<and it just gave> [//] I just put so much pressure ↫o↫on me to speak like ≠everybody else,SP02,429.9,436.7
interview-24fa-87,and looking back on it that was not the best therapy that I needed,and looking back on it that was not the best therapy that I needed,SP02,436.7,442.1
interview-24fa-88,so I would just try to empower your clients to be successful communicators however they would like that to be,so I would just try to empower ↫y↫your clients to be successful com↫mu↫muni↫ca↫cators however they (.) would like that to be,SP02,442.1,456.2
interview-24fa-89,that sentence doesn't make sense but okay,that sentence doesn't make sense but okay,SP02,456.2,457.95
interview-24fc-12,okay,okay,SP02,1.0,1.7
interview-24fc-13,so could you tell me a little bit about the impact of stuttering on your everyday life ?,so could you tell me a little bit about the impact of stuttering on your everyday life ?,SP02,1.7,6.7
interview-24fc-14,and you could talk about how it's affected your interactions with your family and friends school work social life,&-um and you could talk about how it's affected your interactions with your family and friends school work social life,SP02,6.7,13.6
interview-24fc-15,anything you'd want,anything you'd want,SP02,13.6,14.5
interview-24fc-16,I will say that it has impacted my life,&-um I will say that it ≠has impacted [/] impacted my life,SP01,14.5,19.85
interview-24fc-17,when I was younger in school I will hate to do like the oral presentation,&-um <I> [/] when I was &-like younger in school I will hate to do like the owal [//] oral ↫pre-pre-pre-pre↫pre:sentation,SP01,20.0,33.55
interview-24fc-18,and I will even ask my teacher to either to not do them or to do it in front of him only or her only instead of in front of everybody else,and I will &-uh ↫e-e-e-e↫even ask my &-um my [/] <my &+tea> [/] my teacher to &-like ↫e↫either to [/] to not do [/] do [/] do them or to do it &-like in front of him only or her only (.) instead of in front of everybody else,SP01,33.55,54.45
interview-24fc-19,it didn't impact me for my friendship,&-um it ↫did↫didn't impact me f:or &-like my &-like friendship,SP01,54.5,59.5
interview-24fc-20,my friend just don't care,my friend just don't &-like care,SP01,59.5,61.35
interview-24fc-21,they are so sweet,<they are &+s> [/] they are so sweet,SP01,61.35,64.3
interview-24fc-22,my family member too,&-um my family member too,SP01,64.3,67.1
interview-24fc-23,they just want to help me,&-uh they just want to &-like help me,SP01,67.1,70.1
interview-24fc-24,and I know it's been hard for them,and I know it's been hard for them,SP01,70.1,72.9
interview-24fc-25,it's was all new things they didn't know what to do or how they could help me,it's was all &-like new things they didn't know <how &+t> [//] ↫w↫what to &+w:ha [/] what to do or &-like how [/] how they could &-like help me,SP01,73.0,83.85
interview-24fc-26,but we get all through it,but <we all> [//] we get all through [/] through [/] through it,SP01,84.0,89.55
interview-24fc-27,and as part of my job I recently got a job,and &-um as part of my &-like job &-um I recently &-uh got a job,SP01,89.55,97.75
interview-24fc-28,and I pass one interview and I got it so,and I pass one ↫inter↫interview and <I got> [/] I [/] got it so,SP01,97.75,103.9
interview-24fc-29,I wouldn't say it has impacted me,I wouldn't say it has &+impact [/] impacted me,SP01,103.9,106.8
interview-24fc-30,I'm pretty confident so I think it's just and it's just okay fine ,&-um I'm pretty ↫con-con-con-con-con↫confident so I think it's  just &-like xxx and it's just okay fine &-like,SP01,106.8,117.0
interview-24fc-31,it's okay so,<it's &+o> [/] it's ↫o-o↫okay so,SP01,117.0,122.0
interview-24fc-32,okay sounds good,okay sounds good,SP02,122.25,123.9
interview-24fc-33,have you ever received therapy for your stuttering and if so how did that work out ?,&-um have you ever received therapy for your stuttering and if so &-um how did that work out ?,SP02,124.0,129.1
interview-24fc-34,anything help or not help in a big way ?,anything help or not help in a big way ?,SP02,129.1,131.9
interview-24fc-35,yes I did when I was younger,&-um yes I did when I was young [/] ↫y↫younger,SP01,132.0,135.95
interview-24fc-36,so for when I was six when I was eighteen I had the therapy,so &-like for &-uh &-like when I was &-like six ≠when I was &-like eighteen I had <the &+ther> [//] the ↫ther-ther↫therapy,SP01,135.95,147.15
interview-24fc-37,on and off sometimes I will just go then I will just stop because it wasn't helping me really much,on and off sometimes I will just go then I will just stop because it wasn't helping me ↫rea↫really much,SP01,147.15,154.4
interview-24fc-38,I am a fast talker,&-um I am a fast [/] fast talker,SP01,154.4,158.2
interview-24fc-39,so people will always have me to slow down,so people will always have me to &-like slow down,SP01,158.2,162.4
interview-24fc-40,and I would hate that,and I would hate that,SP01,162.4,163.8
interview-24fc-41,I cannot slow down,I cannot slow down,SP01,164.0,165.9
interview-24fc-42,I am not able to,I am not able to,SP01,165.9,167.8
interview-24fc-43,so I would just hate to talk really slow and trying to put that in my real life afterward,so I would just hate to &-like talk really slow and trying to put that in my real life afterward,SP01,168.0,176.4
interview-24fc-44,and it would just feel weird,and it would just feel weird,SP01,176.4,178.4
interview-24fc-45,so I did therapy,&-um so I did therapy,SP01,179.0,182.0
interview-24fc-46,I did not appreciate it really much,I did not appre:ciate it <&+rea> [/] ↫r↫really much,SP01,182.0,187.55
interview-24fc-47,what has helped me is to meet other people who stutter,what has helped me is to meet ↫oth↫other people who [/] who &+s who [/] who [/] who stutter,SP01,187.55,197.2
interview-24fc-48,to talk with them and see how they live with it,&-um to talk with them and see how [/] how [/] how they live with it,SP01,197.2,202.65
interview-24fc-49,and that's what helped me the most to gain my confidence back so,and that [/] that's what helped me the most to gain my confident [//] &-like confidence back so,SP01,202.7,210.8
interview-24fc-50,cool,cool,SP02,211.0,212.2
interview-24fc-51,okay what do you think successful communication looks like ?,okay &-um what do you think successful communication looks like ?,SP02,212.2,216.7
interview-24fc-52,in other words what do you think would be a really good example of a positive communication interaction ?,&-um in other words what do you think would be a really good example of a positive communication interaction ?,SP02,216.7,223.6
interview-24fc-53,I would say it just be that it two people can understand each other,I would say it just be that it two people can ↫under-under↫understand ↫each-each↫each other,SP01,223.6,232.3
